aakkoset,aakkonen
aallot,aalto
aivot,aivo
ajot,ajo
aktiivat,aktiiva
alkajaiset,alkajainen
alkeet,alje
anopikset,anopis
antimet,annin
apposet,apponen
arpajaiset,arpajainen
asettajaiset,asettajainen
asiat,asia
asteet,aste
astiat,astia
astujaiset,astujainen
aterimet,aterin
atulat,atula
avajaiset,avajainen
bailut,bailu
bermudat,bermuda
bikinit,bikini
bileet,bile
bänet,bäne
dongarit,dongari
ehdot,ehto
elimet,elin
erojaiset,erojainen
farkut,farkku
farmarit,farmari
festivaalit,festivaali
finanssit,finanssi
fudut,fudu
geimit,geimi
genitaalit,genitaali
hankinnat,hankinta
hapset,hapsi
harjakaiset,harjakainen
harteet,harre
hatkat,hatka
hautajaiset,hautajainen
hedelmät,hedelmä
henkselit,henkseli
hevoset,hevonen
hiihtarit,hiihtari
hilut,hilu
hipat,hippa
hippulat,hippula
hiukset,hius
hiutaleet,hiutale
hohtimet,hohdin
hoksottimet,hoksotin
hopeat,hopea
housut,housu
hyntteet,hynte
hynttyyt,hynttyy
hyppyset,hyppynen
häät,hää
höyhenet,höyhen
ikenet,ien
illalliset,illallinen
illatsut,illatsu
istujaiset,istujainen
jalkineet,jalkine
jamit,jami
jarrut,jarru
jortsut,jortsu
joukot,joukko
juhlallisuudet,juhlallisuus
juhlat,juhla
juomingit,juominki
juuret,juuri
jäähyväiset,jäähyväinen
kahvit,kahvi
kaimakset,kaimas
kakkulat,kakkula
kalleudet,kalleus
kalsarit,kalsari
kalsongit,kalsonki
kalterit,kalteri
kalusteet,kaluste
kalut,kalu
kamppeet,kampe
kamppiaiset,kamppiainen
kampsut,kampsu
kannattimet,kannatin
kannet,kansi
kantimet,kannin
kapiot,kapio
kapulat,kapula
karvat,karva
kastajaiset,kastajainen
kastanjetit,kastanjetti
kasvit,kasvi
kasvot,kasvo
katsojaiset,katsojainen
kaupat,kauppa
kaverukset,kaverus
kehruukset,kehruus
kehykset,kehys
keimit,keimi
kekkerit,kekkeri
kellot,kello
kemut,kemu
kengät,kenkä
keritsimet,keritsin
kestit,kesti
kidukset,kidus
kiesit,kiesi
kiharat,kihara
kihlajaiset,kihlajainen
kihlat,kihla
kiittimet,kiitin
kilpailut,kilpailu
kimpsut,kimpsu
kinkerit,kinkeri
kirjaimet,kirjain
kirjoitukset,kirjoitus
kisat,kisa
kituset,kitunen
kokkarit,kokkari
kolloidit,kolloidi
kotolaiset,kotolainen
kruunajaiset,kruunajainen
kulut,kulu
kummarit,kummari
kumppanukset,kumppanus
kuolaimet,kuolain
kuopat,kuoppa
kustannukset,kustannus
kuteet,kude
kutrit,kutri
kutsut,kutsu
kuuliaiset,kuuliainen
kuulokkeet,kuuloke
kuulumiset,kuuluminen
kymmenykset,kymmenys
kälykset,kälys
kärryt,kärry
käräjät,käräjä
käädyt,kääty
lahjat,lahja
lakkiaiset,lakkiainen
langokset,langos
lantsarit,lantsari
laput,lappu
lasit,lasi
laudat,lauta
lauteet,laude
leggingsit,leggings
lehdekset,lehdes
lemput,lemppu
liittoutuneet,liittoutunut
liivit,liivi
liperit,liperi
loparit,lopari
lopettajaiset,lopettajainen
lukuset,lukunen
lunnaat,lunnas
lähtiäiset,lähtiäinen
läksiäiset,läksiäinen
länget,länki
maat,maa
maistajaiset,maistajainen
maistiaiset,maistiainen
maltaat,mallas
markkinat,markkina
menkat,menkka
menkut,menkku
menot,meno
mensikset,mensis
mensut,mensu
messut,messu
molemmat,molempi
monot,mono
murteet,murre
myyjäiset,myyjäinen
myötäjäiset,myötäjäinen
naamiaiset,naamiainen
naapurukset,naapurus
neuvottelut,neuvottelu
nimiäiset,nimiäinen
nivuset,nivunen
nokoset,nokonen
nostajaiset,nostajainen
nyyttärit,nyyttäri
näkimet,näin
näkäräiset,näkäräinen
ohjeet,ohje
oikeudet,oikeus
olot,olo
oltavat,oltava
olympialaiset,olympialainen
opinnot,opinto
orgiat,orgia
ottajaiset,ottajainen
paarit,paari
paikat,paikka
painajaiset,painajainen
paljastajaiset,paljastajainen
paniaiset,paniainen
panot,pano
paperit,paperi
paralympialaiset,paralympialainen
passiivat,passiiva
passit,passi
peijaiset,peijainen
peitteet,peite
penkkarit,penkkari
perkeet,perje
persaukset,persaus
perskat,perska
persukset,persus
persuukset,persuus
perunat,peruna
perät,perä
pidot,pito
pihdit,pihti
piirteet,piirre
pinsetit,pinsetti
pippalot,pippalo
pisteet,piste
pitkikset,pitkis
piupaut,piupau
pojat,poika
polttarit,polttari
polvarit,polvari
portaat,porras
potkiaiset,potkiainen
prillit,prilli
puitteet,puite
pukeet,pue
pukimet,puin
puut,puu
päitset,päitsi
päivälliset,päivällinen
päivät,päivä
päättäjäiset,päättäjäinen
pökkimät,pökkimä
pöksyt,pöksy
pökät,pökä
rahat,raha
rahkeet,rahje
rapiat,rapia
rappuset,rappunen
raput,rappu
rattaat,ratas
raudat,rauta
rauniot,raunio
ravet,rave
ravit,ravi
reivit,reivi
renkaat,rengas
reput,reppu
resurssit,resurssi
riekkujaiset,riekkujainen
rikkojaiset,rikkojainen
rillit,rilli
rintsikat,rintsikka
ripset,ripsi
ristiäiset,ristiäinen
rohtimet,rohdin
rullat,rulla
ryntteet,rynte
rynttyyt,ryntys
ryntäät,rynnäs
ryyppäjäiset,ryyppäjäinen
rääpiäiset,rääpiäinen
rääppeet,rääpe
rääppiäiset,rääppiäinen
saaret,saari
sakset,saksi
sammarit,sammari
sanat,sana
savut,savu
senssit,senssi
serkukset,serkus
seurat,seura
shortsit,shortsi
silakat,silakka
silat,sila
simmarit,simmari
sisarekset,sisares
sisarukset,sisarus
siskokset,siskos
sisälmykset,sisälmys
siteet,side
sitojaiset,sitojainen
sortsit,sortsi
stereot,stereo
suhteet,suhde
suitset,suitsi
sujut,suju
sukat,sukka
sukkikset,sukkis
sukset,suksi
synnyttimet,synnytin
synttärit,synttäri
syömingit,syöminki
säteet,säde
säännöt,sääntö
talkoot,talkoo
tamineet,tamine
tangat,tanga
tanssiaiset,tanssiainen
tanssit,tanssi
tappajaiset,tappajainen
tarpeet,tarve
tarvikkeet,tarvike
taudit,tauti
tavat,tapa
tekarit,tekari
tekiäiset,tekiäinen
terkut,terkku
terveiset,terveinen
tiedot,tieto
tieteet,tiede
tikkaat,tikas
tilat,tila
tipat,tippa
tirsat,tirsa
toiminnot,toiminto
tongit,tonki
torut,toru
toverukset,toverus
treffit,treffi
tulet,tuli
tuliaiset,tuliainen
tulot,tulo
tulukset,tulus
tunnit,tunti
tunnustelut,tunnustelu
turnajaiset,turnajainen
tuttavukset,tuttavus
tytöt,tyttö
työt,työ
uikkarit,uikkari
ummet,umpi
unet,uni
universiadit,universiadi
urut,urku
uutiset,uutinen
vaalit,vaali
vaatteet,vaate
vaikeudet,vaikeus
vaivat,vaiva
valjaat,valjas
vallat,valta
valmistelut,valmistelu
valot,valo
valvojaiset,valvojainen
vanhemmat,vanhempi
vankkurit,vankkuri
varat,vara
varpaiset,varpainen
varpajaiset,varpajainen
varusteet,varuste
vaunut,vaunu
veljekset,veljes
vetimet,vedin
vihannekset,vihannes
vihat,viha
vihkiäiset,vihkiäinen
viikset,viiksi
viinakset,viinas
villat,villa
vitjat,vitja
voimat,voima
vuodet,vuosi
vuoret,vuori
vyötäiset,vyötäinen
väittäjäiset,väittäjäinen
välit,väli
vällyt,välly
yliset,ylinen
ystävykset,ystävys
